Name,Overall,Potential,Value,Wage,AbilityScore,CostScore,Cluster
 L. Poggi,65,65,400000.0,3000.0,65.0,201500.0,3
 Juanmi,75,82,6000000.0,20000.0,78.5,3010000.0,1
 F. Diagne,74,75,3200000.0,20000.0,74.5,1610000.0,1
 F. Hološko,70,70,1000000.0,6000.0,70.0,503000.0,3
 M. Duruer,68,68,825000.0,10000.0,68.0,417500.0,3
 O. Assaidi,74,74,3500000.0,10000.0,74.0,1755000.0,1
 H. Kryeziu,66,73,875000.0,4000.0,69.5,439500.0,3
 X. Chen,68,68,475000.0,10000.0,68.0,242500.0,3
 S. Cinaz,70,70,950000.0,10000.0,70.0,480000.0,3
 R. Murawski,66,71,825000.0,3000.0,68.5,414000.0,3
 I. Success,74,84,5500000.0,40000.0,79.0,2770000.0,1
 F. Bordagaray,70,70,1200000.0,15000.0,70.0,607500.0,3
 D. Petrucci,68,73,1000000.0,8000.0,70.5,504000.0,3
 Fábio Melitinho,74,74,2700000.0,20000.0,74.0,1360000.0,1
 T. Jodłowiec,71,71,1200000.0,9000.0,71.0,604500.0,3
 J. King,74,78,4500000.0,50000.0,76.0,2275000.0,1
 A. Powell,70,76,1600000.0,5000.0,73.0,802500.0,3
 Álvaro,73,76,3700000.0,30000.0,74.5,1865000.0,1
 Yang Jun A,63,63,275000.0,2000.0,63.0,138500.0,0
 T. Szántó,66,76,1000000.0,6000.0,71.0,503000.0,3
 Y. Endo,68,68,825000.0,9000.0,68.0,417000.0,3
 G. Skondras,69,70,950000.0,5000.0,69.5,477500.0,3
 O. Edouard,68,84,1700000.0,10000.0,76.0,855000.0,1
 P. Araujo,68,68,675000.0,6000.0,68.0,340500.0,3
 Guedes,72,72,2100000.0,9000.0,72.0,1054500.0,3
 O. Banks,65,69,675000.0,2000.0,67.0,338500.0,3
 A. del Valle,73,73,3000000.0,6000.0,73.0,1503000.0,1
 V. Klonaridis,68,70,1100000.0,1000.0,69.0,550500.0,3
 C. Burke,70,70,1000000.0,7000.0,70.0,503500.0,3
 F. Carlsen,64,65,500000.0,2000.0,64.5,251000.0,0
 F. Martin,69,69,1000000.0,7000.0,69.0,503500.0,3
 Javi Álamo,69,69,825000.0,7000.0,69.0,416000.0,3
 D. Dwyer,73,74,3500000.0,10000.0,73.5,1755000.0,1
 M. Duelund,69,80,1600000.0,10000.0,74.5,805000.0,1
 C. Bovo,74,74,1500000.0,20000.0,74.0,760000.0,1
 T. Kortegaard,64,64,350000.0,4000.0,64.0,177000.0,0
 Maurício,79,79,8500000.0,50000.0,79.0,4275000.0,1
 L. López,78,79,8000000.0,15000.0,78.5,4007500.0,1
 R. Mulumba,66,73,875000.0,3000.0,69.5,439000.0,3
 G. Dzhikiya,70,76,1600000.0,20000.0,73.0,810000.0,3
 A. Balzano,71,71,1100000.0,4000.0,71.0,552000.0,3
 N. Sánchez,70,73,1700000.0,9000.0,71.5,854500.0,3
 M. Jarvis,72,72,1900000.0,30000.0,72.0,965000.0,3
 A. Arregui,66,69,675000.0,3000.0,67.5,339000.0,3
 D. Calabria,71,82,2200000.0,15000.0,76.5,1107500.0,1
 A. Rudņevs,73,73,2900000.0,30000.0,73.0,1465000.0,1
 Y. Ngbakoto,73,76,3600000.0,30000.0,74.5,1815000.0,1
 S. Lainer,68,73,975000.0,15000.0,70.5,495000.0,3
 J. Watson,64,64,240000.0,3000.0,64.0,121500.0,0
 M. Bauer,70,75,1500000.0,20000.0,72.5,760000.0,3
 Zequinha,68,68,825000.0,8000.0,68.0,416500.0,3
 I. Dia,72,72,2000000.0,15000.0,72.0,1007500.0,3
 M. Matip,76,76,3800000.0,30000.0,76.0,1915000.0,1
 A. Androutsos,67,80,1300000.0,500.0,73.5,650250.0,1
 N. McGinn,72,72,2000000.0,5000.0,72.0,1002500.0,3
 Jaime Romero,74,74,3500000.0,20000.0,74.0,1760000.0,1
 Marlon Nideiro,74,74,2700000.0,30000.0,74.0,1365000.0,1
 F. Grillitsch,73,80,4000000.0,20000.0,76.5,2010000.0,1
 Y. Kasim,68,71,1000000.0,8000.0,69.5,504000.0,3
 Renatao Baumer,70,70,750000.0,20000.0,70.0,385000.0,3
 Fernando Canesín,73,75,3500000.0,20000.0,74.0,1760000.0,1
 Nilson Padilho,70,70,1300000.0,10000.0,70.0,655000.0,3
 Luan Sendeiro,70,73,1400000.0,20000.0,71.5,710000.0,3
 K. Brennan,61,61,130000.0,1000.0,61.0,65500.0,0
 C. Gutiérrez,65,66,500000.0,3000.0,65.5,251500.0,3
 A. Cordaro,71,71,1500000.0,10000.0,71.0,755000.0,3
 Joselu,75,76,4800000.0,20000.0,75.5,2410000.0,1
 B. Pringle,66,66,625000.0,5000.0,66.0,315000.0,3
 N. Powell,67,74,1000000.0,20000.0,70.5,510000.0,3
 K. Gutiérrez,65,73,775000.0,3000.0,69.0,389000.0,3
 C. Llama,65,65,475000.0,4000.0,65.0,239500.0,3
 B. Kapustka,71,83,2600000.0,20000.0,77.0,1310000.0,1
 C. Râpă,70,71,1300000.0,7000.0,70.5,653500.0,3
 C. Wilk,67,67,525000.0,7000.0,67.0,266000.0,3
 Pozo,71,78,2300000.0,7000.0,74.5,1153500.0,1
 M. Mikić,69,69,80000.0,6000.0,69.0,43000.0,3
 R. Edwards,66,78,1100000.0,3000.0,72.0,551500.0,3
 S. Ringstad,66,69,650000.0,2000.0,67.5,326000.0,3
 F. Bahlouli,70,77,1900000.0,20000.0,73.5,960000.0,1
 Vítor Gonçalves,65,70,700000.0,3000.0,67.5,351500.0,3
 Carlos Martínez,75,75,2900000.0,20000.0,75.0,1460000.0,1
 Marcano,80,80,10500000.0,20000.0,80.0,5260000.0,1
 S. Souprayen,71,71,1300000.0,4000.0,71.0,652000.0,3
 L. Sosa,64,67,525000.0,4000.0,65.5,264500.0,3
 G. Silva,72,77,2400000.0,10000.0,74.5,1205000.0,1
 J. Ramaré,69,69,775000.0,7000.0,69.0,391000.0,3
 W. Bakhashwain,70,72,1300000.0,20000.0,71.0,660000.0,3
 J. Brison,66,66,275000.0,3000.0,66.0,139000.0,3
 E. Orrantía,64,66,425000.0,3000.0,65.0,214000.0,3
 S. Silva,73,73,1100000.0,7000.0,73.0,553500.0,3
 Paulinho,71,74,1700000.0,9000.0,72.5,854500.0,3
 M. Barrow,72,78,2900000.0,20000.0,75.0,1460000.0,1
 F. Ceravolo,73,73,2800000.0,8000.0,73.0,1404000.0,1
 R. Alberg,68,68,925000.0,6000.0,68.0,465500.0,3
 G. Deegan,64,64,350000.0,2000.0,64.0,176000.0,0
 Balliu,73,78,3300000.0,15000.0,75.5,1657500.0,1
 G. Lebese,74,74,3400000.0,2000.0,74.0,1701000.0,1
 G. Haraguchi,76,77,6000000.0,30000.0,76.5,3015000.0,1
 S. Leto,74,74,3200000.0,2000.0,74.0,1601000.0,1
 S. Vittor,71,72,1500000.0,10000.0,71.5,755000.0,3
 S. Davis,66,73,875000.0,3000.0,69.5,439000.0,3
 Ferrán Giner,67,67,700000.0,8000.0,67.0,354000.0,3
 J. Le Moigne,69,69,450000.0,5000.0,69.0,227500.0,3
 R. Márquez,73,73,0.0,15000.0,73.0,7500.0,3
 N. Kilkenny,67,67,525000.0,5000.0,67.0,265000.0,3
 M. Odjer,67,81,1500000.0,3000.0,74.0,751500.0,1
 J. Drachmann,69,69,800000.0,15000.0,69.0,407500.0,3
 S. Dragun,68,68,675000.0,20000.0,68.0,347500.0,3
 A. Reyna,69,69,875000.0,8000.0,69.0,441500.0,3
 T. Thompson,68,76,1300000.0,5000.0,72.0,652500.0,3
 M. Maâzou,73,73,3000000.0,9000.0,73.0,1504500.0,1
 A. Taylor,67,67,500000.0,10000.0,67.0,255000.0,3
 P. Corral,66,70,800000.0,2000.0,68.0,401000.0,3
 M. Bravo,69,69,1000000.0,9000.0,69.0,504500.0,3
 V. Bernárdez,72,72,650000.0,6000.0,72.0,328000.0,3
 R. Wolski,72,76,2800000.0,6000.0,74.0,1403000.0,1
 Deivid,74,75,3100000.0,10000.0,74.5,1555000.0,1
 M. Campos,66,66,625000.0,3000.0,66.0,314000.0,3
 L. Boyé,72,82,3500000.0,20000.0,77.0,1760000.0,1
 E. Marester,66,66,350000.0,2000.0,66.0,176000.0,3
 N. Bendtner,73,73,2900000.0,10000.0,73.0,1455000.0,1
 R. Festersen,67,67,700000.0,10000.0,67.0,355000.0,3
 M. Suárez,75,75,4099999.9999999995,15000.0,75.0,2057499.9999999998,1
 Y. Kobayashi,73,73,2900000.0,10000.0,73.0,1455000.0,1
 D. Cerén,70,70,1100000.0,6000.0,70.0,553000.0,3
 L. Paqarada,69,76,1200000.0,4000.0,72.5,602000.0,3
 A. Pešić,70,73,1700000.0,20000.0,71.5,860000.0,3
 Rafael Ramos,67,77,1000000.0,4000.0,72.0,502000.0,3
 Y. Bissouma,68,78,1200000.0,15000.0,73.0,607500.0,3
 I. Fetfatzidis,77,80,8500000.0,40000.0,78.5,4270000.0,1
 Anderson Correia,71,74,1700000.0,6000.0,72.5,853000.0,3
 A. Elis,72,80,3200000.0,6000.0,76.0,1603000.0,1
 E. Gülüm,76,76,4000000.0,60000.0,76.0,2030000.0,1
 J. Andersen,65,71,725000.0,2000.0,68.0,363500.0,3
 S. Koroki,72,72,2100000.0,10000.0,72.0,1055000.0,3
 R. Vorobiev,67,67,550000.0,20000.0,67.0,285000.0,3
 R. Harakawa,66,71,825000.0,2000.0,68.5,413500.0,3
 S. Mijailović,68,74,1000000.0,10000.0,71.0,505000.0,3
 Kléber,71,72,1900000.0,9000.0,71.5,954500.0,3
 Jacson Zonta,74,74,2700000.0,15000.0,74.0,1357500.0,1
 A. Stoian,70,71,1600000.0,10000.0,70.5,805000.0,3
 P. Lasogga,75,78,5500000.0,40000.0,76.5,2770000.0,1
 A. Mejía,76,76,4300000.0,40000.0,76.0,2170000.0,1
 D. Georgievski,65,65,400000.0,3000.0,65.0,201500.0,3
 David García,77,77,2100000.0,20000.0,77.0,1060000.0,1
 N. Barazite,74,75,3900000.0,15000.0,74.5,1957500.0,1
 J. Lowe,69,71,1100000.0,15000.0,70.0,557500.0,3
 Song Chang Ho,61,61,160000.0,2000.0,61.0,81000.0,0
 Bismark,68,74,1200000.0,9000.0,71.0,604500.0,3
 C. Evans,69,69,1100000.0,6000.0,69.0,553000.0,3
 Christian,69,69,1000000.0,7000.0,69.0,503500.0,3
 T. Chow,66,75,950000.0,3000.0,70.5,476500.0,3
 M. Wynne,67,67,525000.0,5000.0,67.0,265000.0,3
 O. Rojas,67,67,210000.0,6000.0,67.0,108000.0,3
 Tony Muttinho,71,71,925000.0,10000.0,71.0,467500.0,3
 R. Draper,68,68,700000.0,5000.0,68.0,352500.0,3
 M. Gaus,64,64,350000.0,4000.0,64.0,177000.0,0
 R. Gigolaev,66,66,625000.0,7000.0,66.0,316000.0,3
 Y. Cahuzac,73,73,1900000.0,20000.0,73.0,960000.0,1
 I. Coronado,70,75,1800000.0,3000.0,72.5,901500.0,3
 F. Marange,70,70,950000.0,15000.0,70.0,482500.0,3
 Ruíz de Galarreta,70,77,1600000.0,6000.0,73.5,803000.0,1
 A. Al Faraj,69,69,825000.0,20000.0,69.0,422500.0,3
 Son Jun Ho,68,70,1100000.0,6000.0,69.0,553000.0,3
 A. Tetteh,70,71,1200000.0,9000.0,70.5,604500.0,3
 M. Antenucci,71,71,1400000.0,4000.0,71.0,702000.0,3
 Andrea Orlandi,69,69,875000.0,4000.0,69.0,439500.0,3
 W. Sobota,70,70,1200000.0,15000.0,70.0,607500.0,3
 Naldo Freidinha,65,65,300000.0,500.0,65.0,150250.0,3
 K. Fisker,70,70,1300000.0,10000.0,70.0,655000.0,3
 M. Terki,68,71,1100000.0,9000.0,69.5,554500.0,3
 Jairinhazo,72,72,2100000.0,1000.0,72.0,1050500.0,3
 Y. Wildschut,69,72,1300000.0,20000.0,70.5,660000.0,3
 Bruno Monteiro,67,67,600000.0,5000.0,67.0,302500.0,3
 A. Gadzhibekov,72,74,2100000.0,15000.0,73.0,1057500.0,1
 F. Hartherz,67,72,825000.0,6000.0,69.5,415500.0,3
 S. Lundevall,71,71,1600000.0,5000.0,71.0,802500.0,3
 D. Bowditch,66,66,575000.0,5000.0,66.0,290000.0,3
 André Leão,71,71,1100000.0,7000.0,71.0,553500.0,3
 David de Paula,65,65,400000.0,7000.0,65.0,203500.0,3
 J. Jacobson,66,66,450000.0,6000.0,66.0,228000.0,3
 F. Arizala,70,70,1300000.0,2000.0,70.0,651000.0,3
 S. Bannigan,65,70,600000.0,2000.0,67.5,301000.0,3
 L. Néry,68,71,875000.0,4000.0,69.5,439500.0,3
 Hélder Costa,74,83,5500000.0,30000.0,78.5,2765000.0,1
 N. Milesi,67,72,825000.0,15000.0,69.5,420000.0,3
 C. Adams,70,81,2100000.0,10000.0,75.5,1055000.0,1
 M. Poundjé,73,78,3300000.0,30000.0,75.5,1665000.0,1
 M. Abero,69,70,950000.0,7000.0,69.5,478500.0,3
 F. Klaus,73,76,3600000.0,30000.0,74.5,1815000.0,1
 R. Quioto,71,72,2000000.0,7000.0,71.5,1003500.0,3
 M. Al Nakhli,65,72,625000.0,8000.0,68.5,316500.0,3
 L. González,71,71,1500000.0,9000.0,71.0,754500.0,3
 Rafael Martins,72,72,2200000.0,9000.0,72.0,1104500.0,3
 N. Nikolić,76,76,5500000.0,10000.0,76.0,2755000.0,1
 An Hyeon Beom,72,80,3100000.0,5000.0,76.0,1552500.0,1
 S. Martínez,71,74,1800000.0,8000.0,72.5,904000.0,3
 M. Pérez,66,73,750000.0,7000.0,69.5,378500.0,3
 V. Gragnic,70,70,875000.0,6000.0,70.0,440500.0,3
 Álvaro Jiménez,71,77,2200000.0,7000.0,74.0,1103500.0,1
 S. Beavon,68,68,700000.0,10000.0,68.0,355000.0,3
 M. Lund Nielsen,64,64,425000.0,2000.0,64.0,213500.0,0
 G. Celis,73,82,3900000.0,9000.0,77.5,1954500.0,1
 G. Herrera,68,68,700000.0,10000.0,68.0,355000.0,3
 M. Fritzler,73,73,2200000.0,15000.0,73.0,1107500.0,1
 Thievy,74,78,4500000.0,20000.0,76.0,2260000.0,1
 K. Alston,65,65,400000.0,3000.0,65.0,201500.0,3
 M. Besler,74,74,2500000.0,9000.0,74.0,1254500.0,1
 D. Nugent,72,72,1900000.0,40000.0,72.0,970000.0,3
 E. Jääger,66,66,400000.0,2000.0,66.0,201000.0,3
 J. Calvé,66,66,350000.0,2000.0,66.0,176000.0,3
 D. Callà,69,69,825000.0,15000.0,69.0,420000.0,3
 Y. Kakoko,62,65,300000.0,2000.0,63.5,151000.0,0
 M. Palmer,67,78,1200000.0,6000.0,72.5,603000.0,3
 L. Nganioni,68,77,1200000.0,4000.0,72.5,602000.0,3
 Akapo,66,72,725000.0,3000.0,69.0,364000.0,3
 O. Kucher,78,78,3800000.0,2000.0,78.0,1901000.0,1
 K. McNaughton,69,69,425000.0,5000.0,69.0,215000.0,3
 André Claro,72,75,2700000.0,8000.0,73.5,1354000.0,1
 D. Kourbelis,71,77,1900000.0,1000.0,74.0,950500.0,1
 R. Aliendro,69,70,1200000.0,7000.0,69.5,603500.0,3
 K. Itabel,68,74,1200000.0,7000.0,71.0,603500.0,3
 C. Schneuwly,69,69,975000.0,8000.0,69.0,491500.0,3
 P. Aguilar,76,76,4000000.0,60000.0,76.0,2030000.0,1
 S. Drewniak,64,68,475000.0,2000.0,66.0,238500.0,3
 T. Moutinho,70,71,1500000.0,9000.0,70.5,754500.0,3
 Renato Santos,74,77,4200000.0,9000.0,75.5,2104500.0,1
 J. Vargas,69,84,2000000.0,7000.0,76.5,1003500.0,1
 C. Cato,65,68,550000.0,3000.0,66.5,276500.0,3
 Dani Abalo,65,65,500000.0,2000.0,65.0,251000.0,3
 V. Forren,73,73,2300000.0,9000.0,73.0,1154500.0,1
 F. Kaufmann,65,70,600000.0,3000.0,67.5,301500.0,3
 C. Verdonk,65,76,700000.0,2000.0,70.5,351000.0,3
 M. Normann,64,75,725000.0,2000.0,69.5,363500.0,3
 J. Mills,65,66,500000.0,3000.0,65.5,251500.0,3
 F. Kainz,74,78,4300000.0,20000.0,76.0,2160000.0,1
 M. Donati,68,68,150000.0,4000.0,68.0,77000.0,3
 A. Karaer,68,68,650000.0,10000.0,68.0,330000.0,3
 P. Wszołek,72,75,2700000.0,20000.0,73.5,1360000.0,1
 L. Rodríguez,70,70,1200000.0,9000.0,70.0,604500.0,3
 P. McNair,72,81,2900000.0,20000.0,76.5,1460000.0,1
 J. Skalák,69,72,1300000.0,30000.0,70.5,665000.0,3
 E. Tellechea,66,66,575000.0,4000.0,66.0,289500.0,3
 K. Rosenberry,66,75,825000.0,3000.0,70.5,414000.0,3
 M. Rashica,74,82,5000000.0,10000.0,78.0,2505000.0,1
 N. Schouterden,68,68,850000.0,10000.0,68.0,430000.0,3
 A. Williams,83,83,15000000.0,100000.0,83.0,7550000.0,2
 F. Starzyński,69,72,1300000.0,6000.0,70.5,653000.0,3
 C. Hemlein,68,69,975000.0,7000.0,68.5,491000.0,3
 C. Conway,68,68,700000.0,15000.0,68.0,357500.0,3
 D. Janjatović,66,70,700000.0,3000.0,68.0,351500.0,3
 G. Graciani,70,76,1800000.0,8000.0,73.0,904000.0,1
 J. Legear,67,67,675000.0,15000.0,67.0,345000.0,3
 A. Scholz,74,79,3900000.0,20000.0,76.5,1960000.0,1
 L. Obraniak,70,70,1100000.0,7000.0,70.0,553500.0,3
 F. Peluso,75,75,2300000.0,40000.0,75.0,1170000.0,1
 R. McCabe,63,68,450000.0,1000.0,65.5,225500.0,3
 C. Christie,69,73,1100000.0,20000.0,71.0,560000.0,3
 Welliton,73,73,2800000.0,20000.0,73.0,1410000.0,1
 A. Schiavone,69,76,1400000.0,3000.0,72.5,701500.0,3
 F. Oreja,70,70,375000.0,10000.0,70.0,192500.0,3
 Hernâni,77,78,8000000.0,10000.0,77.5,4005000.0,1
 D. Hofbauer,63,64,375000.0,2000.0,63.5,188500.0,0
 F. Santander,73,76,3700000.0,20000.0,74.5,1860000.0,1
 G. Mandjeck,70,70,1100000.0,15000.0,70.0,557500.0,3
 T. Necid,74,74,3700000.0,15000.0,74.0,1857500.0,1
 E. Larsson,66,68,625000.0,2000.0,67.0,313500.0,3
 A. Bjelland,74,74,2800000.0,30000.0,74.0,1415000.0,1
 B. Adjei-Boateng,65,74,800000.0,3000.0,69.5,401500.0,3
 A. Jacobson,66,66,450000.0,3000.0,66.0,226500.0,3
 G. Gudiño,66,69,775000.0,3000.0,67.5,389000.0,3
 A. Mobara,66,73,750000.0,500.0,69.5,375250.0,3
 J. Marveaux,69,69,450000.0,15000.0,69.0,232500.0,3
 D. Mohamed,65,66,475000.0,4000.0,65.5,239500.0,3
 Toché,74,74,2300000.0,10000.0,74.0,1155000.0,1
 D. Appiah,72,76,2300000.0,10000.0,74.0,1155000.0,1
 C. Bolaños,71,71,1200000.0,7000.0,71.0,603500.0,3
 H. Camara,65,65,300000.0,3000.0,65.0,151500.0,3
 Biel Company,66,71,700000.0,3000.0,68.5,351500.0,3
 J. Harrison,70,84,2700000.0,5000.0,77.0,1352500.0,1
 J. Cuero,73,73,2800000.0,15000.0,73.0,1407500.0,1
 O. Bulut,68,72,1100000.0,15000.0,70.0,557500.0,3
 Francisco Júnior,63,67,425000.0,1000.0,65.0,213000.0,3
 C. Dimaio,61,70,350000.0,2000.0,65.5,176000.0,3
 C. Piccini,76,83,6500000.0,20000.0,79.5,3260000.0,1
 João Pereira,68,69,800000.0,9000.0,68.5,404500.0,3
 O. Niasse,75,76,4800000.0,40000.0,75.5,2420000.0,1
 M. Angeleri,75,75,1800000.0,20000.0,75.0,910000.0,1
 A. Chochiev,68,69,1000000.0,15000.0,68.5,507500.0,3
 J. Rojas,70,70,1400000.0,30000.0,70.0,715000.0,3
 M. Parensen,67,67,500000.0,15000.0,67.0,257500.0,3
 Evandro Rochedo,73,73,2300000.0,20000.0,73.0,1160000.0,1
 X. Mercier,69,69,1100000.0,10000.0,69.0,555000.0,3
 A. Mazzotta,68,68,725000.0,3000.0,68.0,364000.0,3
 L. Di Lorenzo,66,66,210000.0,3000.0,66.0,106500.0,3
 Saborit,69,74,1100000.0,10000.0,71.5,555000.0,3
 Iriondo,66,72,725000.0,3000.0,69.0,364000.0,3
 J. Schieber,75,75,4300000.0,30000.0,75.0,2165000.0,1
 G. Murray,74,74,2700000.0,60000.0,74.0,1380000.0,1
 E. Manu,70,75,1800000.0,8000.0,72.5,904000.0,3
 S. Wood,64,64,400000.0,7000.0,64.0,203500.0,0
 J. Williams,72,77,2900000.0,20000.0,74.5,1460000.0,1
 F. Cristaldo,65,72,550000.0,2000.0,68.5,276000.0,3
 D. Montenegro,72,72,220000.0,8000.0,72.0,114000.0,3
 S. Ferguson,65,66,625000.0,4000.0,65.5,314500.0,3
 R. Kronaveter,67,67,0.0,0.0,67.0,0.0,3
 A. Wooten,72,72,2300000.0,7000.0,72.0,1153500.0,3
 Borja Domínguez,68,75,1100000.0,5000.0,71.5,552500.0,3
 A. Stavpets,65,65,550000.0,10000.0,65.0,280000.0,3
 J. Brayford,69,69,775000.0,8000.0,69.0,391500.0,3
 A. Sarcevic,64,67,550000.0,6000.0,65.5,278000.0,3
 T. Oar,71,74,2100000.0,6000.0,72.5,1053000.0,3
 E. Alexander,66,66,500000.0,3000.0,66.0,251500.0,3
 S. Scannell,69,69,1100000.0,10000.0,69.0,555000.0,3
 L. Martínez,66,66,575000.0,4000.0,66.0,289500.0,3
 Gerard Badía,70,70,1400000.0,7000.0,70.0,703500.0,3
 Marlion Rolim,71,74,2100000.0,10000.0,72.5,1055000.0,3
 S. Sutter,68,68,600000.0,5000.0,68.0,302500.0,3
 P. Dummett,71,75,1800000.0,20000.0,73.0,910000.0,1
 C. Remmer,68,74,1000000.0,5000.0,71.0,502500.0,3
 A. Annan,65,65,400000.0,500.0,65.0,200250.0,3
 A. Grgic,67,81,1500000.0,8000.0,74.0,754000.0,1
 A. Barreca,74,85,5000000.0,30000.0,79.5,2515000.0,1
 E. Brito,63,68,375000.0,2000.0,65.5,188500.0,3
 Vieiraldo Junior,71,71,1500000.0,20000.0,71.0,760000.0,3
 M. Lund,66,71,700000.0,3000.0,68.5,351500.0,3
 A. Farías,71,71,1300000.0,4000.0,71.0,652000.0,3
 J. Aguirre,68,70,1100000.0,9000.0,69.0,554500.0,3
 D. Burbano,68,68,825000.0,20000.0,68.0,422500.0,3
 T. Carroll,73,78,3800000.0,50000.0,75.5,1925000.0,1
 Dani Toribio,69,70,950000.0,7000.0,69.5,478500.0,3
 L. Di Plácido,70,77,1600000.0,7000.0,73.5,803500.0,1
 C. Baird,68,68,250000.0,30000.0,68.0,140000.0,3
 Maikel Mesa,69,70,1200000.0,6000.0,69.5,603000.0,3
 T. Bianchi,69,69,1000000.0,3000.0,69.0,501500.0,3
 M. Marchionni,66,66,210000.0,2000.0,66.0,106000.0,3
 Dudú,67,68,850000.0,4000.0,67.5,427000.0,3
 F. Concas,66,66,575000.0,2000.0,66.0,288500.0,3
 Eltildo Correia,76,76,4800000.0,15000.0,76.0,2407500.0,1
 M. Johansson,70,73,1400000.0,9000.0,71.5,704500.0,3
 J. Thomassen,66,66,475000.0,2000.0,66.0,238500.0,3
 P. Sagna,69,70,975000.0,6000.0,69.5,490500.0,3
 K. Ajer,66,80,1200000.0,2000.0,73.0,601000.0,3
 S. Berahino,76,82,7500000.0,70000.0,79.0,3785000.0,1
 G. Prósperi,67,67,450000.0,9000.0,67.0,229500.0,3
 P. Celeban,69,69,650000.0,7000.0,69.0,328500.0,3
 P. Lees-Melou,73,78,3900000.0,15000.0,75.5,1957500.0,1
 S. de Vrij,82,88,23500000.0,50000.0,85.0,11775000.0,2
 T. Darikwa,70,74,1500000.0,20000.0,72.0,760000.0,3
 Lee Jong Won,65,65,425000.0,2000.0,65.0,213500.0,3
 Jorge Pombo,66,75,975000.0,3000.0,70.5,489000.0,3
 L. Nizzetto,67,67,650000.0,3000.0,67.0,326500.0,3
 Salomão,67,67,725000.0,8000.0,67.0,366500.0,3
 C. Ciano,73,73,3100000.0,6000.0,73.0,1553000.0,1
 F. Müller,66,66,450000.0,5000.0,66.0,227500.0,3
 A. Tapia,65,65,500000.0,1000.0,65.0,250500.0,3
 Y. Sallahi,65,72,625000.0,5000.0,68.5,315000.0,3
 L. Valenzuela,69,69,1000000.0,4000.0,69.0,502000.0,3
 R. Maiello,67,70,900000.0,3000.0,68.5,451500.0,3
 I. Blanco,69,69,675000.0,9000.0,69.0,342000.0,3
 B. Afobe,74,80,4800000.0,50000.0,77.0,2425000.0,1
 Artur,70,77,1600000.0,5000.0,73.5,802500.0,1
 D. Schwaab,74,75,3100000.0,15000.0,74.5,1557500.0,1
 J. Ankersen,69,70,1200000.0,10000.0,69.5,605000.0,3
 D. Loft,62,62,250000.0,4000.0,62.0,127000.0,0
 L. Varney,67,67,475000.0,9000.0,67.0,242000.0,3
 Daguinho Parrela,70,70,750000.0,15000.0,70.0,382500.0,3
 T. Beltran,67,67,550000.0,6000.0,67.0,278000.0,3
 S. Leyton,64,71,600000.0,2000.0,67.5,301000.0,3
 Cho Chan Ho,64,64,400000.0,3000.0,64.0,201500.0,0
 A. Paolucci,67,67,675000.0,3000.0,67.0,339000.0,3
 D. Hubert,68,68,675000.0,9000.0,68.0,342000.0,3
 D. Musto,73,73,2200000.0,15000.0,73.0,1107500.0,1
 F. Ragusa,63,68,450000.0,1000.0,65.5,225500.0,3
 M. Neumayr,67,67,650000.0,8000.0,67.0,329000.0,3
 M. Destro,76,79,6500000.0,60000.0,77.5,3280000.0,1
 G. Wijnaldum,66,71,700000.0,3000.0,68.5,351500.0,3
 C. Del Grosso,64,64,275000.0,2000.0,64.0,138500.0,0
 A. Rosina,73,73,2300000.0,7000.0,73.0,1153500.0,1
 B. Hušidić,66,66,575000.0,3000.0,66.0,289000.0,3
 B. Dost,82,82,21000000.0,20000.0,82.0,10510000.0,2
 M. Pérez,69,69,1100000.0,2000.0,69.0,551000.0,3
 M. El Hamdaoui,73,73,2500000.0,20000.0,73.0,1260000.0,1
 Flavio Paixão,71,71,1300000.0,7000.0,71.0,653500.0,3
 G. Bonin,66,66,475000.0,2000.0,66.0,238500.0,3
 N. Blackman,67,67,750000.0,30000.0,67.0,390000.0,3
 P. Muntwiler,63,63,300000.0,2000.0,63.0,151000.0,0
 Brenito Duarte,73,73,1700000.0,1000.0,73.0,850500.0,3
 Xeka,69,79,1600000.0,20000.0,74.0,810000.0,1
 S. McDonald,67,67,575000.0,6000.0,67.0,290500.0,3
 P. Zanev,69,69,725000.0,10000.0,69.0,367500.0,3
 R. Rusescu,71,71,1700000.0,20000.0,71.0,860000.0,3
 Rúben Vezo,75,81,4800000.0,15000.0,78.0,2407500.0,1
 N. Tomović,76,76,4099999.9999999995,60000.0,76.0,2079999.9999999998,1
 S. Armenteros,73,74,3400000.0,10000.0,73.5,1705000.0,1
 E. Gigliotti,75,75,4000000.0,20000.0,75.0,2010000.0,1
 S. D'Elia,69,69,825000.0,3000.0,69.0,414000.0,3
 S. Kurumaya,69,73,1100000.0,5000.0,71.0,552500.0,3
 J. Cools,68,70,875000.0,7000.0,69.0,441000.0,3
 D. Klate,74,74,0.0,0.0,74.0,0.0,3
 U. Agbo,71,79,2400000.0,10000.0,75.0,1205000.0,1
 M. Mostefa,73,73,1700000.0,20000.0,73.0,860000.0,3
 M. Emnes,69,69,1000000.0,20000.0,69.0,510000.0,3
 K. Lafferty,71,71,1700000.0,30000.0,71.0,865000.0,3
 K. Tsimikas,64,72,550000.0,3000.0,68.0,276500.0,3
 A. Alvarez,68,68,700000.0,6000.0,68.0,353000.0,3
 S. Laird,66,66,475000.0,4000.0,66.0,239500.0,3
